2810|湛江|28
2811|江门|28
2812|河源|28
2813|清远|28
2814|云浮|28
2815|潮州|28
2816|东莞|28
2817|中山|28
2818|阳江|28
2819|揭阳|28
2820|茂名|28
2821|汕尾|28
2822|东沙岛|28
2901|昆明|29
2902|大理|29
2903|红河|29
2904|曲靖|29
2905|保山|29
2906|文山|29
2907|玉溪|29
2908|楚雄|29
2909|思茅|29
2910|昭通|29
2911|临沧|29
2912|怒江|29
2913|迪庆|29
2914|丽江|29
2915|德宏|29
2916|西双版纳|29
3001|南宁|30
3002|崇左|30
3003|柳州|30
3004|来宾|30
3005|桂林|30
3006|梧州|30
3007|贺州|30
3008|贵港|30
3009|玉林|30
3010|百色|30
3011|钦州|30
3012|河池|30
3013|北海|30
3014|防城港|30
3101|海口|31
3102|琼山|31
3103|三亚|31
3104|东方|31
3105|临高|31
3106|澄迈|31
3107|儋州|31
3108|昌江|31
3109|白沙|31
3110|琼中|31
3111|定安|31
3112|屯昌|31
3113|琼海|31
3114|文昌|31
3115|清兰|31
3116|保亭|31
3117|万宁|31
3118|陵水|31
3119|西沙|31
3120|珊瑚岛|31
3121|永署礁|31
3122|南沙岛|31
3123|乐东|31
3124|通什|31
3201|香港|32
3301|澳门|33
3401|台北|34
3402|高雄|34
3403|台南|34
3404|台中|34
3405|桃园|34
3406|新竹|34
3407|宜兰|34
3408|澎湖|34
3409|嘉义|34
3410|花莲|34
3411|台东|34
3412|基隆|34
